starttime	seconds	ctime	dtime	ttime	wait
Sat May 05 22:53:28 2018	1525553608	0	17	17	17
Sat May 05 22:53:27 2018	1525553607	0	17	17	17
Sat May 05 22:53:28 2018	1525553608	0	18	18	18
Sat May 05 22:53:28 2018	1525553608	0	18	18	18
Sat May 05 22:53:26 2018	1525553606	0	18	18	18
Sat May 05 22:53:26 2018	1525553606	0	18	18	18
Sat May 05 22:53:28 2018	1525553608	0	19	19	18
Sat May 05 22:53:28 2018	1525553608	0	19	19	19
Sat May 05 22:53:28 2018	1525553608	0	19	19	19
Sat May 05 22:53:28 2018	1525553608	0	19	19	19
Sat May 05 22:53:27 2018	1525553607	0	19	19	19
Sat May 05 22:53:28 2018	1525553608	0	19	19	19
Sat May 05 22:53:28 2018	1525553608	0	19	19	19
Sat May 05 22:53:28 2018	1525553608	0	19	19	19
Sat May 05 22:53:28 2018	1525553608	0	19	19	19
Sat May 05 22:53:28 2018	1525553608	0	19	19	19
Sat May 05 22:53:26 2018	1525553606	0	19	19	19
Sat May 05 22:53:28 2018	1525553608	0	20	20	19
Sat May 05 22:53:28 2018	1525553608	0	20	20	19
Sat May 05 22:53:26 2018	1525553606	0	20	20	19
Sat May 05 22:53:28 2018	1525553608	0	20	20	20
Sat May 05 22:53:26 2018	1525553606	0	20	20	20
Sat May 05 22:53:28 2018	1525553608	0	20	20	20
Sat May 05 22:53:26 2018	1525553606	0	20	20	20
Sat May 05 22:53:26 2018	1525553606	0	20	20	20
Sat May 05 22:53:28 2018	1525553608	0	20	20	20
Sat May 05 22:53:28 2018	1525553608	0	20	20	20
Sat May 05 22:53:26 2018	1525553606	0	20	20	20
Sat May 05 22:53:27 2018	1525553607	0	20	20	20
Sat May 05 22:53:26 2018	1525553606	0	20	20	20
Sat May 05 22:53:28 2018	1525553608	0	20	20	20
Sat May 05 22:53:26 2018	1525553606	0	20	20	20
Sat May 05 22:53:28 2018	1525553608	0	20	20	20
Sat May 05 22:53:26 2018	1525553606	0	20	20	20
Sat May 05 22:53:27 2018	1525553607	0	20	20	20
Sat May 05 22:53:28 2018	1525553608	0	20	20	20
Sat May 05 22:53:26 2018	1525553606	0	20	20	20
Sat May 05 22:53:28 2018	1525553608	0	20	20	20
Sat May 05 22:53:26 2018	1525553606	0	20	20	20
Sat May 05 22:53:28 2018	1525553608	0	20	20	20
Sat May 05 22:53:26 2018	1525553606	0	20	20	20
Sat May 05 22:53:27 2018	1525553607	0	20	20	20
Sat May 05 22:53:28 2018	1525553608	0	20	20	20
Sat May 05 22:53:27 2018	1525553607	0	20	20	20
Sat May 05 22:53:27 2018	1525553607	0	20	20	20
Sat May 05 22:53:28 2018	1525553608	0	20	20	20
Sat May 05 22:53:26 2018	1525553606	0	20	20	20
Sat May 05 22:53:27 2018	1525553607	0	20	20	20
Sat May 05 22:53:27 2018	1525553607	0	20	20	20
Sat May 05 22:53:26 2018	1525553606	0	20	20	20
Sat May 05 22:53:26 2018	1525553606	0	20	20	20
Sat May 05 22:53:26 2018	1525553606	0	20	20	20
Sat May 05 22:53:27 2018	1525553607	0	20	20	20
Sat May 05 22:53:26 2018	1525553606	0	20	20	20
Sat May 05 22:53:26 2018	1525553606	0	20	20	20
Sat May 05 22:53:26 2018	1525553606	0	20	20	20
Sat May 05 22:53:26 2018	1525553606	0	20	20	20
Sat May 05 22:53:28 2018	1525553608	0	20	20	20
Sat May 05 22:53:28 2018	1525553608	0	20	20	20
Sat May 05 22:53:26 2018	1525553606	0	20	20	20
Sat May 05 22:53:26 2018	1525553606	0	20	20	20
Sat May 05 22:53:27 2018	1525553607	0	20	20	20
Sat May 05 22:53:28 2018	1525553608	0	20	20	20
Sat May 05 22:53:26 2018	1525553606	0	20	20	20
Sat May 05 22:53:28 2018	1525553608	0	20	20	20
Sat May 05 22:53:27 2018	1525553607	0	20	20	20
Sat May 05 22:53:28 2018	1525553608	0	20	20	20
Sat May 05 22:53:28 2018	1525553608	0	20	20	20
Sat May 05 22:53:26 2018	1525553606	0	20	20	20
Sat May 05 22:53:26 2018	1525553606	0	20	20	20
Sat May 05 22:53:26 2018	1525553606	0	20	20	20
Sat May 05 22:53:26 2018	1525553606	0	20	20	20
Sat May 05 22:53:28 2018	1525553608	0	20	20	20
Sat May 05 22:53:28 2018	1525553608	0	20	20	20
Sat May 05 22:53:28 2018	1525553608	0	20	20	20
Sat May 05 22:53:26 2018	1525553606	0	20	20	20
Sat May 05 22:53:28 2018	1525553608	0	20	20	20
Sat May 05 22:53:26 2018	1525553606	0	20	20	20
Sat May 05 22:53:26 2018	1525553606	0	20	20	20
Sat May 05 22:53:27 2018	1525553607	0	20	20	20
Sat May 05 22:53:27 2018	1525553607	0	21	21	20
Sat May 05 22:53:26 2018	1525553606	0	21	21	20
Sat May 05 22:53:26 2018	1525553606	0	21	21	20
Sat May 05 22:53:26 2018	1525553606	0	21	21	20
Sat May 05 22:53:26 2018	1525553606	0	21	21	20
Sat May 05 22:53:28 2018	1525553608	0	21	21	20
Sat May 05 22:53:27 2018	1525553607	0	21	21	20
Sat May 05 22:53:26 2018	1525553606	0	21	21	21
Sat May 05 22:53:28 2018	1525553608	0	21	21	20
Sat May 05 22:53:26 2018	1525553606	0	21	21	21
Sat May 05 22:53:26 2018	1525553606	0	21	21	21
Sat May 05 22:53:26 2018	1525553606	0	21	21	21
Sat May 05 22:53:26 2018	1525553606	0	21	21	21
Sat May 05 22:53:28 2018	1525553608	0	21	21	21
Sat May 05 22:53:28 2018	1525553608	0	21	21	21
Sat May 05 22:53:27 2018	1525553607	0	21	21	21
Sat May 05 22:53:26 2018	1525553606	0	21	21	21
Sat May 05 22:53:26 2018	1525553606	0	21	21	21
Sat May 05 22:53:26 2018	1525553606	0	21	21	21
Sat May 05 22:53:26 2018	1525553606	0	21	21	21
Sat May 05 22:53:28 2018	1525553608	0	21	21	21
Sat May 05 22:53:27 2018	1525553607	0	21	21	21
Sat May 05 22:53:27 2018	1525553607	0	21	21	21
Sat May 05 22:53:26 2018	1525553606	0	21	21	21
Sat May 05 22:53:28 2018	1525553608	0	21	21	21
Sat May 05 22:53:27 2018	1525553607	0	21	21	21
Sat May 05 22:53:28 2018	1525553608	0	21	21	21
Sat May 05 22:53:28 2018	1525553608	0	21	21	21
Sat May 05 22:53:28 2018	1525553608	0	21	21	21
Sat May 05 22:53:26 2018	1525553606	0	21	21	21
Sat May 05 22:53:28 2018	1525553608	0	21	21	21
Sat May 05 22:53:27 2018	1525553607	0	21	21	21
Sat May 05 22:53:26 2018	1525553606	0	21	21	21
Sat May 05 22:53:26 2018	1525553606	0	21	21	21
