starttime	seconds	ctime	dtime	ttime	wait
Mon May 07 17:50:27 2018	1525708227	34	321	354	35
Mon May 07 17:48:18 2018	1525708098	30	326	356	24
Mon May 07 17:52:40 2018	1525708360	32	335	368	34
Mon May 07 17:48:18 2018	1525708098	27	353	379	30
Mon May 07 17:48:19 2018	1525708099	31	357	388	36
Mon May 07 17:48:24 2018	1525708104	33	361	394	39
Mon May 07 17:51:39 2018	1525708299	32	374	406	27
Mon May 07 17:50:06 2018	1525708206	33	381	414	36
Mon May 07 17:50:16 2018	1525708216	32	384	415	31
Mon May 07 17:53:45 2018	1525708425	35	385	420	42
Mon May 07 17:51:33 2018	1525708293	29	451	479	35
Mon May 07 17:54:21 2018	1525708461	30	455	486	34
Mon May 07 17:49:40 2018	1525708180	36	470	506	34
Mon May 07 17:50:26 2018	1525708226	30	485	515	140
Mon May 07 17:48:47 2018	1525708127	29	489	518	32
Mon May 07 17:52:38 2018	1525708358	32	486	518	35
Mon May 07 17:50:06 2018	1525708206	31	490	521	29
Mon May 07 17:50:40 2018	1525708240	33	496	528	32
Mon May 07 17:48:19 2018	1525708099	33	503	536	74
Mon May 07 17:53:38 2018	1525708418	34	503	537	35
Mon May 07 17:50:00 2018	1525708200	32	516	548	42
Mon May 07 17:49:13 2018	1525708153	34	519	553	35
Mon May 07 17:48:18 2018	1525708098	2	556	558	229
Mon May 07 17:48:24 2018	1525708104	30	529	559	44
Mon May 07 17:48:19 2018	1525708099	30	532	562	155
Mon May 07 17:52:34 2018	1525708354	29	547	576	35
Mon May 07 17:54:05 2018	1525708445	35	544	579	34
Mon May 07 17:50:45 2018	1525708245	34	549	583	32
Mon May 07 17:51:21 2018	1525708281	31	553	585	28
Mon May 07 17:49:50 2018	1525708190	32	553	585	36
Mon May 07 17:49:26 2018	1525708166	34	555	589	37
Mon May 07 17:51:20 2018	1525708280	28	563	591	33
Mon May 07 17:50:14 2018	1525708214	33	560	593	38
Mon May 07 17:54:17 2018	1525708457	36	562	598	35
Mon May 07 17:52:28 2018	1525708348	32	571	603	31
Mon May 07 17:48:26 2018	1525708106	34	579	614	35
Mon May 07 17:48:44 2018	1525708124	36	580	616	35
Mon May 07 17:49:59 2018	1525708199	33	585	618	44
Mon May 07 17:52:49 2018	1525708369	32	589	621	31
Mon May 07 17:49:30 2018	1525708170	33	589	623	35
Mon May 07 17:50:15 2018	1525708215	33	592	625	32
Mon May 07 17:48:18 2018	1525708098	2	630	631	286
Mon May 07 17:52:32 2018	1525708352	33	600	633	36
Mon May 07 17:50:46 2018	1525708246	32	603	634	37
Mon May 07 17:50:18 2018	1525708218	33	607	640	38
Mon May 07 17:50:59 2018	1525708259	34	607	640	40
Mon May 07 17:48:50 2018	1525708130	28	618	646	40
Mon May 07 17:48:31 2018	1525708111	29	622	651	28
Mon May 07 17:50:07 2018	1525708207	33	623	656	36
Mon May 07 17:51:19 2018	1525708279	34	624	659	37
Mon May 07 17:51:20 2018	1525708280	33	629	662	142
Mon May 07 17:54:34 2018	1525708474	33	628	662	37
Mon May 07 17:50:44 2018	1525708244	35	630	665	38
Mon May 07 17:52:16 2018	1525708336	30	635	665	33
Mon May 07 17:51:47 2018	1525708307	34	633	667	36
Mon May 07 17:50:00 2018	1525708200	35	636	671	37
Mon May 07 17:48:44 2018	1525708124	35	635	671	35
Mon May 07 17:51:52 2018	1525708312	34	641	675	31
Mon May 07 17:50:54 2018	1525708254	36	643	679	36
Mon May 07 17:48:18 2018	1525708098	24	655	679	33
Mon May 07 17:51:23 2018	1525708283	32	651	683	34
Mon May 07 17:48:26 2018	1525708106	34	650	684	35
Mon May 07 17:49:10 2018	1525708150	30	654	685	40
Mon May 07 17:50:18 2018	1525708218	32	656	687	35
Mon May 07 17:48:18 2018	1525708098	2	688	690	257
Mon May 07 17:53:51 2018	1525708431	35	659	693	36
Mon May 07 17:51:19 2018	1525708279	34	661	695	38
Mon May 07 17:53:24 2018	1525708404	32	664	696	35
Mon May 07 17:52:47 2018	1525708367	34	665	699	33
Mon May 07 17:52:45 2018	1525708365	35	669	704	36
Mon May 07 17:49:23 2018	1525708163	33	676	708	34
Mon May 07 17:49:32 2018	1525708172	35	676	711	38
Mon May 07 17:49:27 2018	1525708167	33	685	718	39
Mon May 07 17:54:13 2018	1525708453	36	682	719	36
Mon May 07 17:49:12 2018	1525708152	32	691	723	36
Mon May 07 17:50:45 2018	1525708245	34	689	724	36
Mon May 07 17:54:38 2018	1525708478	34	692	726	34
Mon May 07 17:51:03 2018	1525708263	34	692	727	37
Mon May 07 17:49:34 2018	1525708174	34	693	727	32
Mon May 07 17:51:34 2018	1525708294	33	695	729	34
Mon May 07 17:49:50 2018	1525708190	32	699	731	32
Mon May 07 17:52:56 2018	1525708376	35	699	734	37
Mon May 07 17:48:51 2018	1525708131	37	700	737	32
Mon May 07 17:53:08 2018	1525708388	33	704	737	36
Mon May 07 17:49:04 2018	1525708144	36	705	742	33
Mon May 07 17:50:34 2018	1525708234	34	710	744	38
Mon May 07 17:53:40 2018	1525708420	35	711	746	37
Mon May 07 17:50:46 2018	1525708246	34	721	755	33
Mon May 07 17:50:48 2018	1525708248	35	720	755	35
Mon May 07 17:54:08 2018	1525708448	32	726	758	134
Mon May 07 17:48:45 2018	1525708125	30	729	759	36
Mon May 07 17:49:44 2018	1525708184	33	729	762	38
Mon May 07 17:51:42 2018	1525708302	35	729	764	39
Mon May 07 17:49:49 2018	1525708189	33	731	764	145
Mon May 07 17:52:40 2018	1525708360	32	732	764	31
Mon May 07 17:50:55 2018	1525708255	35	731	765	32
Mon May 07 17:48:32 2018	1525708112	32	737	769	138
Mon May 07 17:49:23 2018	1525708163	31	738	769	35
Mon May 07 17:48:59 2018	1525708139	35	736	772	38
Mon May 07 17:49:02 2018	1525708142	33	742	774	136
Mon May 07 17:48:34 2018	1525708114	37	739	775	37
Mon May 07 17:54:40 2018	1525708480	32	744	776	36
Mon May 07 17:54:37 2018	1525708477	33	742	776	37
Mon May 07 17:54:13 2018	1525708453	33	743	776	150
Mon May 07 17:51:15 2018	1525708275	35	751	786	40
Mon May 07 17:52:50 2018	1525708370	34	753	787	37
Mon May 07 17:48:18 2018	1525708098	2	785	787	280
Mon May 07 17:48:52 2018	1525708132	32	756	788	35
Mon May 07 17:48:18 2018	1525708098	2	796	798	215
Mon May 07 17:51:26 2018	1525708286	35	764	799	43
Mon May 07 17:48:19 2018	1525708099	35	764	799	100
Mon May 07 17:52:20 2018	1525708340	33	768	801	34
Mon May 07 17:52:49 2018	1525708369	32	770	802	35
Mon May 07 17:53:25 2018	1525708405	35	768	803	141
Mon May 07 17:52:17 2018	1525708337	34	770	804	141
Mon May 07 17:52:17 2018	1525708337	33	775	808	38
Mon May 07 17:48:59 2018	1525708139	34	775	809	38
