starttime	seconds	ctime	dtime	ttime	wait
Mon May 07 16:21:51 2018	1525702911	0	1	1	1
Mon May 07 16:21:52 2018	1525702912	0	1	1	1
Mon May 07 16:21:55 2018	1525702915	0	1	1	1
Mon May 07 16:21:52 2018	1525702912	0	1	1	1
Mon May 07 16:21:51 2018	1525702911	0	1	1	1
Mon May 07 16:21:52 2018	1525702912	0	1	1	1
Mon May 07 16:21:51 2018	1525702911	0	1	1	1
Mon May 07 16:21:51 2018	1525702911	0	1	1	1
Mon May 07 16:21:55 2018	1525702915	0	1	1	1
Mon May 07 16:21:51 2018	1525702911	0	1	1	1
Mon May 07 16:21:55 2018	1525702915	0	1	1	1
Mon May 07 16:21:51 2018	1525702911	0	1	1	1
Mon May 07 16:21:51 2018	1525702911	0	1	1	1
Mon May 07 16:21:52 2018	1525702912	0	1	1	1
Mon May 07 16:21:52 2018	1525702912	0	1	1	1
Mon May 07 16:21:55 2018	1525702915	0	1	1	1
Mon May 07 16:21:52 2018	1525702912	0	1	1	1
Mon May 07 16:21:51 2018	1525702911	0	1	1	1
Mon May 07 16:21:51 2018	1525702911	0	1	1	1
Mon May 07 16:21:51 2018	1525702911	0	1	1	1
Mon May 07 16:21:51 2018	1525702911	0	1	1	1
Mon May 07 16:21:51 2018	1525702911	0	1	1	1
Mon May 07 16:21:55 2018	1525702915	0	1	1	1
Mon May 07 16:21:51 2018	1525702911	0	1	1	1
Mon May 07 16:21:51 2018	1525702911	0	1	1	1
Mon May 07 16:21:52 2018	1525702912	0	1	1	1
Mon May 07 16:21:51 2018	1525702911	0	1	1	1
Mon May 07 16:21:52 2018	1525702912	0	1	1	1
Mon May 07 16:21:51 2018	1525702911	0	1	1	1
Mon May 07 16:21:52 2018	1525702912	0	1	1	1
Mon May 07 16:21:52 2018	1525702912	0	1	1	1
Mon May 07 16:21:55 2018	1525702915	0	1	1	1
Mon May 07 16:21:51 2018	1525702911	0	1	1	1
Mon May 07 16:21:52 2018	1525702912	0	1	1	1
Mon May 07 16:21:51 2018	1525702911	0	1	1	1
Mon May 07 16:21:52 2018	1525702912	0	1	1	1
Mon May 07 16:21:51 2018	1525702911	0	1	1	1
Mon May 07 16:21:55 2018	1525702915	0	1	1	1
Mon May 07 16:21:52 2018	1525702912	0	1	1	1
Mon May 07 16:21:51 2018	1525702911	0	1	1	1
Mon May 07 16:21:51 2018	1525702911	0	1	1	1
Mon May 07 16:21:55 2018	1525702915	0	1	1	1
Mon May 07 16:21:51 2018	1525702911	0	1	1	1
Mon May 07 16:21:55 2018	1525702915	0	1	1	1
Mon May 07 16:21:55 2018	1525702915	0	1	1	1
Mon May 07 16:21:55 2018	1525702915	0	1	1	1
Mon May 07 16:21:52 2018	1525702912	0	1	1	1
Mon May 07 16:21:52 2018	1525702912	0	1	1	1
Mon May 07 16:21:55 2018	1525702915	0	1	1	1
Mon May 07 16:21:51 2018	1525702911	0	1	1	1
Mon May 07 16:21:51 2018	1525702911	0	1	1	1
Mon May 07 16:21:55 2018	1525702915	0	1	1	1
