starttime	seconds	ctime	dtime	ttime	wait
Sat May 05 21:26:26 2018	1525548386	0	55	55	55
Sat May 05 21:26:26 2018	1525548386	0	59	59	59
Sat May 05 21:26:26 2018	1525548386	0	59	59	59
Sat May 05 21:26:26 2018	1525548386	0	60	60	60
Sat May 05 21:26:26 2018	1525548386	0	61	61	61
Sat May 05 21:26:26 2018	1525548386	0	61	61	61
Sat May 05 21:26:26 2018	1525548386	0	62	62	62
Sat May 05 21:26:26 2018	1525548386	0	62	62	62
Sat May 05 21:26:26 2018	1525548386	0	63	63	63
Sat May 05 21:26:26 2018	1525548386	0	63	63	63
Sat May 05 21:26:26 2018	1525548386	0	63	63	63
Sat May 05 21:26:26 2018	1525548386	0	63	63	63
Sat May 05 21:26:26 2018	1525548386	0	64	64	64
Sat May 05 21:26:26 2018	1525548386	0	64	64	64
Sat May 05 21:26:26 2018	1525548386	0	64	64	64
Sat May 05 21:26:26 2018	1525548386	0	64	64	64
Sat May 05 21:26:26 2018	1525548386	0	65	65	64
Sat May 05 21:26:26 2018	1525548386	0	65	65	65
Sat May 05 21:26:26 2018	1525548386	0	65	65	64
Sat May 05 21:26:26 2018	1525548386	0	65	65	65
Sat May 05 21:26:26 2018	1525548386	0	65	65	65
Sat May 05 21:26:26 2018	1525548386	0	65	65	65
Sat May 05 21:26:26 2018	1525548386	0	65	65	65
Sat May 05 21:26:26 2018	1525548386	0	65	65	65
Sat May 05 21:26:26 2018	1525548386	0	66	66	66
Sat May 05 21:26:26 2018	1525548386	0	67	67	67
Sat May 05 21:26:26 2018	1525548386	0	68	68	68
Sat May 05 21:26:26 2018	1525548386	0	68	68	68
Sat May 05 21:26:26 2018	1525548386	0	68	68	68
Sat May 05 21:26:26 2018	1525548386	0	68	68	68
Sat May 05 21:26:26 2018	1525548386	0	68	68	68
Sat May 05 21:26:26 2018	1525548386	0	69	69	68
Sat May 05 21:26:26 2018	1525548386	0	69	69	69
Sat May 05 21:26:26 2018	1525548386	0	69	69	69
Sat May 05 21:26:26 2018	1525548386	0	69	69	69
Sat May 05 21:26:26 2018	1525548386	0	70	70	69
Sat May 05 21:26:26 2018	1525548386	0	70	70	70
Sat May 05 21:26:26 2018	1525548386	0	70	70	70
Sat May 05 21:26:26 2018	1525548386	0	70	70	70
Sat May 05 21:26:26 2018	1525548386	0	70	70	70
Sat May 05 21:26:26 2018	1525548386	0	70	70	70
Sat May 05 21:26:26 2018	1525548386	0	70	70	70
Sat May 05 21:26:26 2018	1525548386	0	71	71	70
Sat May 05 21:26:26 2018	1525548386	0	71	71	71
Sat May 05 21:26:26 2018	1525548386	0	71	71	71
Sat May 05 21:26:26 2018	1525548386	0	71	71	71
Sat May 05 21:26:26 2018	1525548386	0	71	71	71
Sat May 05 21:26:26 2018	1525548386	0	72	72	72
Sat May 05 21:26:26 2018	1525548386	0	72	72	72
Sat May 05 21:26:26 2018	1525548386	0	73	73	72
Sat May 05 21:26:26 2018	1525548386	0	73	73	73
Sat May 05 21:26:26 2018	1525548386	0	74	74	74
Sat May 05 21:26:26 2018	1525548386	0	74	74	74
Sat May 05 21:26:26 2018	1525548386	0	74	74	74
Sat May 05 21:26:26 2018	1525548386	0	74	74	74
Sat May 05 21:26:26 2018	1525548386	0	75	75	75
Sat May 05 21:26:26 2018	1525548386	0	76	76	75
Sat May 05 21:26:26 2018	1525548386	0	77	77	77
Sat May 05 21:26:26 2018	1525548386	0	80	80	80
Sat May 05 21:26:26 2018	1525548386	0	80	80	80
Sat May 05 21:26:26 2018	1525548386	0	80	80	80
Sat May 05 21:26:26 2018	1525548386	0	81	81	81
Sat May 05 21:26:26 2018	1525548386	0	81	81	81
Sat May 05 21:26:26 2018	1525548386	0	81	81	81
Sat May 05 21:26:26 2018	1525548386	0	81	81	81
Sat May 05 21:26:26 2018	1525548386	0	84	84	84
Sat May 05 21:26:26 2018	1525548386	0	84	84	84
Sat May 05 21:26:26 2018	1525548386	0	84	84	84
Sat May 05 21:26:26 2018	1525548386	0	85	85	85
Sat May 05 21:26:26 2018	1525548386	0	85	85	85
Sat May 05 21:26:26 2018	1525548386	0	85	85	85
Sat May 05 21:26:26 2018	1525548386	0	85	85	85
Sat May 05 21:26:26 2018	1525548386	0	85	85	85
Sat May 05 21:26:26 2018	1525548386	0	85	85	85
Sat May 05 21:26:26 2018	1525548386	0	86	86	85
Sat May 05 21:26:26 2018	1525548386	0	86	86	86
Sat May 05 21:26:26 2018	1525548386	0	86	86	86
Sat May 05 21:26:26 2018	1525548386	0	86	86	86
Sat May 05 21:26:26 2018	1525548386	0	86	86	86
Sat May 05 21:26:26 2018	1525548386	0	86	86	86
Sat May 05 21:26:26 2018	1525548386	0	86	86	86
Sat May 05 21:26:26 2018	1525548386	0	87	87	86
Sat May 05 21:26:26 2018	1525548386	0	87	87	87
Sat May 05 21:26:26 2018	1525548386	0	87	87	87
Sat May 05 21:26:26 2018	1525548386	0	87	87	87
Sat May 05 21:26:26 2018	1525548386	0	87	87	87
Sat May 05 21:26:26 2018	1525548386	0	87	87	87
Sat May 05 21:26:26 2018	1525548386	0	87	87	87
Sat May 05 21:26:26 2018	1525548386	0	87	87	87
Sat May 05 21:26:26 2018	1525548386	0	87	87	87
Sat May 05 21:26:26 2018	1525548386	0	88	88	87
Sat May 05 21:26:26 2018	1525548386	0	88	88	88
Sat May 05 21:26:26 2018	1525548386	0	88	88	88
Sat May 05 21:26:26 2018	1525548386	0	88	88	88
Sat May 05 21:26:26 2018	1525548386	0	88	88	88
Sat May 05 21:26:26 2018	1525548386	0	88	88	88
Sat May 05 21:26:26 2018	1525548386	0	88	88	88
Sat May 05 21:26:26 2018	1525548386	0	88	88	88
Sat May 05 21:26:26 2018	1525548386	0	88	88	88
Sat May 05 21:26:26 2018	1525548386	0	88	88	88
Sat May 05 21:26:26 2018	1525548386	0	88	88	88
Sat May 05 21:26:26 2018	1525548386	0	88	88	88
Sat May 05 21:26:26 2018	1525548386	0	88	88	88
Sat May 05 21:26:26 2018	1525548386	0	88	88	88
Sat May 05 21:26:26 2018	1525548386	0	89	89	88
Sat May 05 21:26:26 2018	1525548386	0	89	89	88
Sat May 05 21:26:26 2018	1525548386	0	89	89	88
Sat May 05 21:26:26 2018	1525548386	0	89	89	89
Sat May 05 21:26:26 2018	1525548386	0	89	89	89
Sat May 05 21:26:26 2018	1525548386	0	89	89	89
Sat May 05 21:26:26 2018	1525548386	0	89	89	89
Sat May 05 21:26:26 2018	1525548386	0	89	89	89
Sat May 05 21:26:26 2018	1525548386	0	89	89	89
Sat May 05 21:26:26 2018	1525548386	0	89	89	89
Sat May 05 21:26:26 2018	1525548386	0	89	89	89
Sat May 05 21:26:26 2018	1525548386	0	89	89	89
Sat May 05 21:26:26 2018	1525548386	0	89	89	89
Sat May 05 21:26:26 2018	1525548386	0	89	89	89
Sat May 05 21:26:26 2018	1525548386	0	89	89	89
Sat May 05 21:26:26 2018	1525548386	0	89	89	89
Sat May 05 21:26:26 2018	1525548386	0	89	89	89
Sat May 05 21:26:26 2018	1525548386	0	90	90	89
Sat May 05 21:26:26 2018	1525548386	0	90	90	89
Sat May 05 21:26:26 2018	1525548386	0	90	90	90
Sat May 05 21:26:26 2018	1525548386	0	90	90	90
Sat May 05 21:26:26 2018	1525548386	0	90	90	90
Sat May 05 21:26:26 2018	1525548386	0	90	90	90
