starttime	seconds	ctime	dtime	ttime	wait
Mon May 07 13:27:40 2018	1525692460	15	97	112	18
Mon May 07 13:28:08 2018	1525692488	16	99	114	18
Mon May 07 13:27:13 2018	1525692433	17	99	116	18
Mon May 07 13:27:40 2018	1525692460	16	101	117	19
Mon May 07 13:27:40 2018	1525692460	15	102	117	17
Mon May 07 13:27:40 2018	1525692460	16	102	118	17
Mon May 07 13:27:14 2018	1525692434	16	103	120	20
Mon May 07 13:28:08 2018	1525692488	15	107	122	21
Mon May 07 13:28:08 2018	1525692488	17	105	122	20
Mon May 07 13:27:13 2018	1525692433	16	106	123	19
Mon May 07 13:27:13 2018	1525692433	17	107	124	21
Mon May 07 13:27:13 2018	1525692433	15	110	125	18
Mon May 07 13:27:40 2018	1525692460	17	108	125	20
Mon May 07 13:27:13 2018	1525692433	17	112	129	20
Mon May 07 13:28:08 2018	1525692488	19	110	129	20
Mon May 07 13:28:08 2018	1525692488	16	113	129	22
Mon May 07 13:27:40 2018	1525692460	17	113	130	20
Mon May 07 13:27:40 2018	1525692460	17	113	130	20
Mon May 07 13:28:09 2018	1525692489	20	110	130	23
Mon May 07 13:27:40 2018	1525692460	17	113	130	21
Mon May 07 13:27:13 2018	1525692433	18	113	130	21
Mon May 07 13:27:40 2018	1525692460	18	112	130	20
Mon May 07 13:27:13 2018	1525692433	16	115	131	18
Mon May 07 13:27:13 2018	1525692433	18	113	131	20
Mon May 07 13:27:13 2018	1525692433	17	114	132	20
Mon May 07 13:27:13 2018	1525692433	17	115	132	34
Mon May 07 13:27:13 2018	1525692433	30	102	132	20
Mon May 07 13:27:13 2018	1525692433	18	115	134	21
Mon May 07 13:27:14 2018	1525692434	17	116	134	21
Mon May 07 13:27:13 2018	1525692433	17	117	134	19
Mon May 07 13:28:09 2018	1525692489	20	115	135	25
Mon May 07 13:28:09 2018	1525692489	16	120	136	24
Mon May 07 13:27:40 2018	1525692460	19	118	136	21
Mon May 07 13:27:14 2018	1525692434	20	117	137	22
Mon May 07 13:27:13 2018	1525692433	18	118	137	22
Mon May 07 13:27:13 2018	1525692433	20	118	138	25
Mon May 07 13:27:40 2018	1525692460	20	118	138	22
Mon May 07 13:27:13 2018	1525692433	21	119	140	21
Mon May 07 13:27:14 2018	1525692434	20	121	141	19
Mon May 07 13:27:13 2018	1525692433	30	112	142	21
Mon May 07 13:28:08 2018	1525692488	18	124	142	21
Mon May 07 13:27:13 2018	1525692433	16	127	143	21
Mon May 07 13:28:18 2018	1525692498	18	126	144	21
Mon May 07 13:27:13 2018	1525692433	35	109	144	22
Mon May 07 13:27:13 2018	1525692433	21	123	144	23
Mon May 07 13:27:14 2018	1525692434	20	124	144	22
Mon May 07 13:27:40 2018	1525692460	20	125	145	22
Mon May 07 13:28:08 2018	1525692488	17	128	145	21
Mon May 07 13:28:18 2018	1525692498	19	127	146	20
Mon May 07 13:27:14 2018	1525692434	19	128	147	22
Mon May 07 13:27:40 2018	1525692460	19	129	148	21
Mon May 07 13:27:40 2018	1525692460	19	129	148	22
Mon May 07 13:27:40 2018	1525692460	15	133	149	21
Mon May 07 13:28:08 2018	1525692488	19	130	149	20
Mon May 07 13:28:18 2018	1525692498	19	130	149	21
Mon May 07 13:28:09 2018	1525692489	23	127	149	27
Mon May 07 13:28:08 2018	1525692488	19	131	149	21
Mon May 07 13:27:14 2018	1525692434	17	133	150	19
Mon May 07 13:27:40 2018	1525692460	21	130	151	22
Mon May 07 13:28:08 2018	1525692488	17	134	152	20
Mon May 07 13:28:08 2018	1525692488	19	133	152	22
