starttime	seconds	ctime	dtime	ttime	wait
Sun May 06 01:01:25 2018	1525561285	0	30	30	30
Sun May 06 01:01:25 2018	1525561285	0	31	31	31
Sun May 06 01:01:25 2018	1525561285	0	32	32	32
Sun May 06 01:01:25 2018	1525561285	0	32	32	32
Sun May 06 01:01:25 2018	1525561285	0	32	32	32
Sun May 06 01:01:25 2018	1525561285	0	32	32	32
Sun May 06 01:01:25 2018	1525561285	0	32	32	32
Sun May 06 01:01:25 2018	1525561285	0	32	32	32
Sun May 06 01:01:25 2018	1525561285	0	32	32	32
Sun May 06 01:01:25 2018	1525561285	0	33	33	32
Sun May 06 01:01:25 2018	1525561285	0	33	33	32
Sun May 06 01:01:25 2018	1525561285	0	33	33	33
Sun May 06 01:01:25 2018	1525561285	0	33	33	33
Sun May 06 01:01:25 2018	1525561285	0	33	33	33
Sun May 06 01:01:25 2018	1525561285	0	33	33	33
Sun May 06 01:01:25 2018	1525561285	0	33	33	33
Sun May 06 01:01:25 2018	1525561285	0	33	33	33
Sun May 06 01:01:25 2018	1525561285	0	33	33	33
Sun May 06 01:01:25 2018	1525561285	0	34	34	33
Sun May 06 01:01:25 2018	1525561285	0	34	34	33
Sun May 06 01:01:25 2018	1525561285	0	34	34	34
Sun May 06 01:01:25 2018	1525561285	0	34	34	34
Sun May 06 01:01:25 2018	1525561285	0	34	34	34
Sun May 06 01:01:25 2018	1525561285	0	34	34	34
Sun May 06 01:01:25 2018	1525561285	0	34	34	34
Sun May 06 01:01:25 2018	1525561285	0	34	34	34
Sun May 06 01:01:25 2018	1525561285	0	34	34	34
Sun May 06 01:01:25 2018	1525561285	0	34	34	34
Sun May 06 01:01:25 2018	1525561285	0	34	34	34
Sun May 06 01:01:25 2018	1525561285	0	34	34	34
Sun May 06 01:01:25 2018	1525561285	0	35	35	34
Sun May 06 01:01:25 2018	1525561285	0	35	35	34
Sun May 06 01:01:25 2018	1525561285	0	35	35	35
Sun May 06 01:01:25 2018	1525561285	0	35	35	35
Sun May 06 01:01:25 2018	1525561285	0	35	35	35
Sun May 06 01:01:25 2018	1525561285	0	35	35	35
Sun May 06 01:01:25 2018	1525561285	0	35	35	35
Sun May 06 01:01:25 2018	1525561285	0	35	35	35
Sun May 06 01:01:25 2018	1525561285	0	35	35	35
Sun May 06 01:01:25 2018	1525561285	0	35	35	35
Sun May 06 01:01:25 2018	1525561285	0	35	35	35
Sun May 06 01:01:25 2018	1525561285	0	35	35	35
Sun May 06 01:01:25 2018	1525561285	0	35	35	35
Sun May 06 01:01:25 2018	1525561285	0	35	35	35
Sun May 06 01:01:25 2018	1525561285	0	35	35	35
Sun May 06 01:01:25 2018	1525561285	0	36	36	36
Sun May 06 01:01:25 2018	1525561285	0	36	36	36
Sun May 06 01:01:25 2018	1525561285	0	36	36	36
Sun May 06 01:01:25 2018	1525561285	0	36	36	36
Sun May 06 01:01:25 2018	1525561285	0	36	36	36
Sun May 06 01:01:25 2018	1525561285	0	36	36	36
Sun May 06 01:01:25 2018	1525561285	0	36	36	36
Sun May 06 01:01:25 2018	1525561285	0	36	36	36
Sun May 06 01:01:25 2018	1525561285	0	36	36	36
Sun May 06 01:01:25 2018	1525561285	0	36	36	36
Sun May 06 01:01:25 2018	1525561285	0	36	36	36
Sun May 06 01:01:25 2018	1525561285	0	36	36	35
Sun May 06 01:01:25 2018	1525561285	0	36	36	36
Sun May 06 01:01:25 2018	1525561285	0	36	36	36
Sun May 06 01:01:25 2018	1525561285	0	36	36	36
Sun May 06 01:01:25 2018	1525561285	0	36	36	36
Sun May 06 01:01:25 2018	1525561285	0	36	36	36
Sun May 06 01:01:25 2018	1525561285	0	37	37	36
Sun May 06 01:01:25 2018	1525561285	0	37	37	37
Sun May 06 01:01:25 2018	1525561285	0	37	37	37
Sun May 06 01:01:25 2018	1525561285	0	37	37	37
Sun May 06 01:01:25 2018	1525561285	0	37	37	37
Sun May 06 01:01:25 2018	1525561285	0	37	37	37
Sun May 06 01:01:25 2018	1525561285	0	37	37	37
Sun May 06 01:01:25 2018	1525561285	0	37	37	37
Sun May 06 01:01:25 2018	1525561285	0	37	37	37
Sun May 06 01:01:25 2018	1525561285	0	37	37	37
Sun May 06 01:01:25 2018	1525561285	0	37	37	37
Sun May 06 01:01:25 2018	1525561285	0	37	37	37
Sun May 06 01:01:25 2018	1525561285	0	37	37	37
Sun May 06 01:01:25 2018	1525561285	0	37	37	37
Sun May 06 01:01:25 2018	1525561285	0	37	37	37
Sun May 06 01:01:25 2018	1525561285	0	38	38	37
Sun May 06 01:01:25 2018	1525561285	0	38	38	38
Sun May 06 01:01:25 2018	1525561285	0	38	38	38
Sun May 06 01:01:25 2018	1525561285	0	38	38	38
Sun May 06 01:01:25 2018	1525561285	0	38	38	38
Sun May 06 01:01:25 2018	1525561285	0	38	38	38
Sun May 06 01:01:25 2018	1525561285	0	38	38	38
Sun May 06 01:01:25 2018	1525561285	0	38	38	38
Sun May 06 01:01:25 2018	1525561285	0	38	38	38
Sun May 06 01:01:25 2018	1525561285	0	38	38	38
Sun May 06 01:01:25 2018	1525561285	0	38	38	38
Sun May 06 01:01:25 2018	1525561285	0	38	38	38
Sun May 06 01:01:25 2018	1525561285	0	38	38	38
Sun May 06 01:01:25 2018	1525561285	0	38	38	38
Sun May 06 01:01:25 2018	1525561285	0	38	38	38
Sun May 06 01:01:25 2018	1525561285	0	38	38	38
Sun May 06 01:01:25 2018	1525561285	0	39	39	38
Sun May 06 01:01:25 2018	1525561285	0	39	39	38
Sun May 06 01:01:25 2018	1525561285	0	39	39	38
Sun May 06 01:01:25 2018	1525561285	0	39	39	38
Sun May 06 01:01:25 2018	1525561285	0	39	39	39
Sun May 06 01:01:25 2018	1525561285	0	39	39	39
Sun May 06 01:01:25 2018	1525561285	0	39	39	39
Sun May 06 01:01:25 2018	1525561285	0	39	39	39
Sun May 06 01:01:25 2018	1525561285	0	39	39	39
Sun May 06 01:01:25 2018	1525561285	0	39	39	39
Sun May 06 01:01:25 2018	1525561285	0	39	39	39
Sun May 06 01:01:25 2018	1525561285	0	39	39	39
Sun May 06 01:01:25 2018	1525561285	0	39	39	39
Sun May 06 01:01:25 2018	1525561285	0	39	39	39
Sun May 06 01:01:25 2018	1525561285	0	39	39	39
Sun May 06 01:01:25 2018	1525561285	0	40	40	39
Sun May 06 01:01:25 2018	1525561285	0	40	40	40
Sun May 06 01:01:25 2018	1525561285	0	40	40	39
Sun May 06 01:01:25 2018	1525561285	0	40	40	40
Sun May 06 01:01:25 2018	1525561285	0	40	40	40
Sun May 06 01:01:25 2018	1525561285	0	40	40	39
Sun May 06 01:01:25 2018	1525561285	0	40	40	40
Sun May 06 01:01:25 2018	1525561285	0	40	40	40
Sun May 06 01:01:25 2018	1525561285	0	40	40	40
Sun May 06 01:01:25 2018	1525561285	0	40	40	40
Sun May 06 01:01:25 2018	1525561285	0	40	40	40
Sun May 06 01:01:25 2018	1525561285	0	40	40	40
Sun May 06 01:01:25 2018	1525561285	0	40	40	40
Sun May 06 01:01:25 2018	1525561285	0	40	40	40
Sun May 06 01:01:25 2018	1525561285	0	40	40	40
Sun May 06 01:01:25 2018	1525561285	0	41	41	40
Sun May 06 01:01:25 2018	1525561285	0	41	41	40
Sun May 06 01:01:25 2018	1525561285	0	41	41	40
Sun May 06 01:01:25 2018	1525561285	0	41	41	40
Sun May 06 01:01:25 2018	1525561285	0	41	41	40
Sun May 06 01:01:25 2018	1525561285	0	41	41	41
Sun May 06 01:01:25 2018	1525561285	0	41	41	40
Sun May 06 01:01:25 2018	1525561285	0	41	41	41
Sun May 06 01:01:25 2018	1525561285	0	41	41	40
Sun May 06 01:01:25 2018	1525561285	0	41	41	41
Sun May 06 01:01:25 2018	1525561285	0	41	41	41
Sun May 06 01:01:25 2018	1525561285	0	41	41	41
Sun May 06 01:01:25 2018	1525561285	0	41	41	41
Sun May 06 01:01:25 2018	1525561285	0	41	41	41
Sun May 06 01:01:25 2018	1525561285	0	41	41	41
Sun May 06 01:01:25 2018	1525561285	0	41	41	41
Sun May 06 01:01:25 2018	1525561285	0	41	41	41
Sun May 06 01:01:25 2018	1525561285	0	41	41	41
Sun May 06 01:01:25 2018	1525561285	0	41	41	41
Sun May 06 01:01:25 2018	1525561285	0	41	41	41
Sun May 06 01:01:25 2018	1525561285	0	41	41	41
Sun May 06 01:01:25 2018	1525561285	0	41	41	41
Sun May 06 01:01:25 2018	1525561285	0	41	41	41
Sun May 06 01:01:25 2018	1525561285	0	41	41	41
Sun May 06 01:01:25 2018	1525561285	0	41	41	41
Sun May 06 01:01:25 2018	1525561285	0	41	41	41
Sun May 06 01:01:25 2018	1525561285	0	41	41	41
Sun May 06 01:01:25 2018	1525561285	0	41	41	41
Sun May 06 01:01:25 2018	1525561285	0	42	42	41
Sun May 06 01:01:25 2018	1525561285	0	42	42	42
Sun May 06 01:01:25 2018	1525561285	0	42	42	42
Sun May 06 01:01:25 2018	1525561285	0	42	42	42
Sun May 06 01:01:25 2018	1525561285	0	42	42	42
Sun May 06 01:01:25 2018	1525561285	0	42	42	42
Sun May 06 01:01:25 2018	1525561285	0	42	42	42
Sun May 06 01:01:25 2018	1525561285	0	42	42	42
Sun May 06 01:01:25 2018	1525561285	0	42	42	42
Sun May 06 01:01:25 2018	1525561285	0	42	42	42
Sun May 06 01:01:25 2018	1525561285	0	43	43	42
Sun May 06 01:01:25 2018	1525561285	0	43	43	43
Sun May 06 01:01:25 2018	1525561285	0	43	43	43
Sun May 06 01:01:25 2018	1525561285	0	43	43	42
Sun May 06 01:01:25 2018	1525561285	0	43	43	43
Sun May 06 01:01:25 2018	1525561285	0	43	43	43
Sun May 06 01:01:25 2018	1525561285	0	43	43	43
Sun May 06 01:01:25 2018	1525561285	0	43	43	43
Sun May 06 01:01:25 2018	1525561285	0	43	43	43
Sun May 06 01:01:25 2018	1525561285	0	43	43	43
Sun May 06 01:01:25 2018	1525561285	0	43	43	43
Sun May 06 01:01:25 2018	1525561285	0	43	43	43
Sun May 06 01:01:25 2018	1525561285	0	44	44	43
Sun May 06 01:01:25 2018	1525561285	0	44	44	43
Sun May 06 01:01:25 2018	1525561285	0	44	44	43
Sun May 06 01:01:25 2018	1525561285	0	44	44	44
Sun May 06 01:01:25 2018	1525561285	0	44	44	44
Sun May 06 01:01:25 2018	1525561285	0	44	44	44
Sun May 06 01:01:25 2018	1525561285	0	44	44	44
Sun May 06 01:01:25 2018	1525561285	0	44	44	44
Sun May 06 01:01:25 2018	1525561285	0	44	44	44
Sun May 06 01:01:25 2018	1525561285	0	44	44	44
Sun May 06 01:01:25 2018	1525561285	0	44	44	44
Sun May 06 01:01:25 2018	1525561285	0	44	44	44
Sun May 06 01:01:25 2018	1525561285	0	44	44	44
Sun May 06 01:01:25 2018	1525561285	0	44	44	44
Sun May 06 01:01:25 2018	1525561285	0	44	44	44
Sun May 06 01:01:25 2018	1525561285	0	44	44	44
Sun May 06 01:01:25 2018	1525561285	0	44	44	44
Sun May 06 01:01:25 2018	1525561285	0	44	44	44
Sun May 06 01:01:25 2018	1525561285	0	44	44	44
Sun May 06 01:01:25 2018	1525561285	0	44	44	44
Sun May 06 01:01:25 2018	1525561285	0	44	44	44
Sun May 06 01:01:25 2018	1525561285	0	44	44	44
Sun May 06 01:01:25 2018	1525561285	0	45	45	44
Sun May 06 01:01:25 2018	1525561285	0	45	45	44
Sun May 06 01:01:25 2018	1525561285	0	45	45	44
Sun May 06 01:01:25 2018	1525561285	0	45	45	44
Sun May 06 01:01:25 2018	1525561285	0	45	45	45
Sun May 06 01:01:25 2018	1525561285	0	45	45	45
Sun May 06 01:01:25 2018	1525561285	0	45	45	45
Sun May 06 01:01:25 2018	1525561285	0	45	45	45
Sun May 06 01:01:25 2018	1525561285	0	45	45	45
Sun May 06 01:01:25 2018	1525561285	0	45	45	45
Sun May 06 01:01:25 2018	1525561285	0	45	45	45
Sun May 06 01:01:25 2018	1525561285	0	45	45	45
Sun May 06 01:01:25 2018	1525561285	0	45	45	45
Sun May 06 01:01:25 2018	1525561285	0	45	45	45
Sun May 06 01:01:25 2018	1525561285	0	45	45	45
Sun May 06 01:01:25 2018	1525561285	0	45	45	45
Sun May 06 01:01:25 2018	1525561285	0	45	45	45
Sun May 06 01:01:25 2018	1525561285	0	45	45	45
Sun May 06 01:01:25 2018	1525561285	0	45	45	45
Sun May 06 01:01:25 2018	1525561285	0	45	45	45
Sun May 06 01:01:25 2018	1525561285	0	45	45	45
