starttime	seconds	ctime	dtime	ttime	wait
Mon May 07 14:28:33 2018	1525696113	16	95	111	17
Mon May 07 14:28:33 2018	1525696113	15	96	111	17
Mon May 07 14:28:30 2018	1525696110	15	97	112	18
Mon May 07 14:28:38 2018	1525696118	15	97	112	17
Mon May 07 14:26:40 2018	1525696000	16	96	112	17
Mon May 07 14:24:35 2018	1525695875	15	97	112	18
Mon May 07 14:34:45 2018	1525696485	15	97	112	19
Mon May 07 14:26:27 2018	1525695987	16	96	112	16
Mon May 07 14:19:32 2018	1525695572	16	97	112	16
Mon May 07 14:23:02 2018	1525695782	16	97	112	18
Mon May 07 14:34:45 2018	1525696485	17	96	112	18
Mon May 07 14:26:30 2018	1525695990	15	97	112	17
Mon May 07 14:29:40 2018	1525696180	16	97	113	18
Mon May 07 14:20:50 2018	1525695650	15	98	113	19
Mon May 07 14:28:33 2018	1525696113	16	97	113	18
Mon May 07 14:28:43 2018	1525696123	16	97	113	17
Mon May 07 14:18:35 2018	1525695515	15	98	113	18
Mon May 07 14:28:34 2018	1525696114	15	97	113	19
Mon May 07 14:26:42 2018	1525696002	17	96	113	18
Mon May 07 14:31:51 2018	1525696311	15	98	113	18
Mon May 07 14:26:33 2018	1525695993	15	98	113	18
Mon May 07 14:34:45 2018	1525696485	16	97	113	18
Mon May 07 14:31:51 2018	1525696311	16	97	113	18
Mon May 07 14:33:50 2018	1525696430	15	97	113	18
Mon May 07 14:28:41 2018	1525696121	16	97	113	16
Mon May 07 14:31:54 2018	1525696314	15	97	113	18
Mon May 07 14:32:40 2018	1525696360	15	98	113	17
Mon May 07 14:31:43 2018	1525696303	14	98	113	17
Mon May 07 14:35:37 2018	1525696537	15	97	113	19
Mon May 07 14:31:53 2018	1525696313	16	97	113	18
Mon May 07 14:29:52 2018	1525696192	15	98	113	17
Mon May 07 14:19:41 2018	1525695581	15	98	113	19
Mon May 07 14:30:39 2018	1525696239	16	98	113	17
Mon May 07 14:31:42 2018	1525696302	16	98	113	17
Mon May 07 14:29:36 2018	1525696176	16	97	113	18
Mon May 07 14:28:38 2018	1525696118	15	98	113	18
Mon May 07 14:31:51 2018	1525696311	14	99	113	18
Mon May 07 14:27:48 2018	1525696068	16	97	113	18
Mon May 07 14:31:50 2018	1525696310	16	97	113	17
Mon May 07 14:31:04 2018	1525696264	16	98	113	18
Mon May 07 14:25:41 2018	1525695941	16	98	113	18
Mon May 07 14:31:51 2018	1525696311	16	98	114	16
Mon May 07 14:29:50 2018	1525696190	15	98	114	17
Mon May 07 14:29:41 2018	1525696181	16	98	114	19
Mon May 07 14:31:59 2018	1525696319	15	98	114	19
Mon May 07 14:33:50 2018	1525696430	16	98	114	18
Mon May 07 14:31:04 2018	1525696264	15	99	114	19
Mon May 07 14:19:31 2018	1525695571	16	98	114	15
Mon May 07 14:26:36 2018	1525695996	16	98	114	18
Mon May 07 14:21:36 2018	1525695696	16	98	114	17
Mon May 07 14:31:43 2018	1525696303	16	98	114	18
Mon May 07 14:29:42 2018	1525696182	15	99	114	18
Mon May 07 14:34:25 2018	1525696465	16	98	114	17
Mon May 07 14:26:41 2018	1525696001	15	99	114	18
Mon May 07 14:31:47 2018	1525696307	14	100	114	18
Mon May 07 14:24:37 2018	1525695877	16	98	114	18
Mon May 07 14:16:35 2018	1525695395	15	99	114	20
Mon May 07 14:24:32 2018	1525695872	16	98	114	18
Mon May 07 14:34:45 2018	1525696485	15	99	114	17
Mon May 07 14:27:36 2018	1525696056	17	98	114	18
Mon May 07 14:26:43 2018	1525696003	14	100	114	18
Mon May 07 14:34:27 2018	1525696467	16	98	114	17
Mon May 07 14:25:47 2018	1525695947	16	99	114	17
Mon May 07 14:34:07 2018	1525696447	15	99	114	17
Mon May 07 14:21:41 2018	1525695701	16	99	114	18
Mon May 07 14:26:48 2018	1525696008	16	99	114	18
Mon May 07 14:34:37 2018	1525696477	15	99	114	19
Mon May 07 14:24:27 2018	1525695867	14	100	114	18
Mon May 07 14:28:40 2018	1525696120	16	98	114	18
Mon May 07 14:24:32 2018	1525695872	16	99	114	18
Mon May 07 14:31:42 2018	1525696302	14	101	115	18
Mon May 07 14:29:45 2018	1525696185	15	99	115	17
Mon May 07 14:29:45 2018	1525696185	14	100	115	18
Mon May 07 14:19:41 2018	1525695581	14	100	115	18
Mon May 07 14:34:45 2018	1525696485	16	99	115	18
Mon May 07 14:26:42 2018	1525696002	15	100	115	19
Mon May 07 14:27:03 2018	1525696023	16	99	115	18
Mon May 07 14:19:31 2018	1525695571	17	98	115	18
Mon May 07 14:22:37 2018	1525695757	16	98	115	18
Mon May 07 14:34:27 2018	1525696467	15	99	115	19
Mon May 07 14:34:33 2018	1525696473	16	99	115	19
Mon May 07 14:24:50 2018	1525695890	16	99	115	18
Mon May 07 14:25:47 2018	1525695947	15	99	115	18
Mon May 07 14:29:45 2018	1525696185	16	99	115	18
Mon May 07 14:21:34 2018	1525695694	15	99	115	18
Mon May 07 14:26:42 2018	1525696002	16	99	115	19
Mon May 07 14:34:30 2018	1525696470	17	98	115	18
Mon May 07 14:28:39 2018	1525696119	16	99	115	18
Mon May 07 14:29:40 2018	1525696180	16	99	115	16
Mon May 07 14:22:44 2018	1525695764	15	100	115	18
Mon May 07 14:31:53 2018	1525696313	15	100	115	20
Mon May 07 14:30:27 2018	1525696227	15	100	115	19
Mon May 07 14:19:39 2018	1525695579	16	99	115	18
Mon May 07 14:33:55 2018	1525696435	16	98	115	18
Mon May 07 14:28:38 2018	1525696118	14	101	115	17
Mon May 07 14:34:39 2018	1525696479	15	100	115	17
Mon May 07 14:26:38 2018	1525695998	15	100	115	18
Mon May 07 14:22:28 2018	1525695748	15	100	115	17
Mon May 07 14:31:53 2018	1525696313	15	100	115	17
Mon May 07 14:31:53 2018	1525696313	15	99	115	18
Mon May 07 14:28:31 2018	1525696111	16	99	115	18
Mon May 07 14:29:42 2018	1525696182	17	98	115	18
Mon May 07 14:19:41 2018	1525695581	16	99	115	18
Mon May 07 14:25:47 2018	1525695947	16	99	115	19
Mon May 07 14:19:39 2018	1525695579	17	98	115	18
Mon May 07 14:26:47 2018	1525696007	17	98	115	17
Mon May 07 14:28:38 2018	1525696118	15	100	115	18
Mon May 07 14:24:27 2018	1525695867	16	100	115	18
Mon May 07 14:32:44 2018	1525696364	17	98	115	17
Mon May 07 14:26:33 2018	1525695993	16	99	115	16
Mon May 07 14:31:42 2018	1525696302	16	99	115	18
Mon May 07 14:25:41 2018	1525695941	18	97	115	17
Mon May 07 14:24:30 2018	1525695870	16	99	115	18
Mon May 07 14:19:40 2018	1525695580	16	99	115	19
Mon May 07 14:34:07 2018	1525696447	16	99	115	19
Mon May 07 14:29:42 2018	1525696182	15	100	115	19
Mon May 07 14:26:31 2018	1525695991	14	101	115	19
Mon May 07 14:19:39 2018	1525695579	17	99	115	19
Mon May 07 14:25:45 2018	1525695945	16	99	115	19
Mon May 07 14:26:47 2018	1525696007	15	100	115	19
Mon May 07 14:35:45 2018	1525696545	15	101	115	18
Mon May 07 14:29:53 2018	1525696193	17	98	115	17
Mon May 07 14:34:55 2018	1525696495	16	100	115	18
Mon May 07 14:24:36 2018	1525695876	16	99	115	17
Mon May 07 14:22:37 2018	1525695757	16	100	115	19
